source	target	type	effect	arrow	relation_id	kegg_id_source	genesymbol_source	uniprot_source	kegg_id_target	genesymbol_target	uniprot_target	pathway_name
24	116	119	PPrel	binding/association	---	hsa04010:21	hsa:23542 hsa:9479	MAPK8IP2	Q13387	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	MAPK signaling pathway
25	116	118	PPrel	binding/association	---	hsa04010:22	hsa:23542 hsa:9479	MAPK8IP2	Q13387	hsa:5609	MAP2K7	O14733	MAPK signaling pathway
26	116	117	PPrel	binding/association	---	hsa04010:23	hsa:23542 hsa:9479	MAPK8IP2	Q13387	hsa:4296	MAP3K11	Q16584	MAPK signaling pathway
27	116	135	PPrel	binding/association	---	hsa04010:24	hsa:23542 hsa:9479	MAPK8IP2	Q13387	hsa:11184	MAP4K1	Q92918	MAPK signaling pathway
28	119	131	PPrel	binding/association	---	hsa04010:25	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	hsa:23162	MAPK8IP3	Q9UPT6	MAPK signaling pathway
29	120	131	PPrel	binding/association	---	hsa04010:26	hsa:6416	MAP2K4	P45985	hsa:23162	MAPK8IP3	Q9UPT6	MAPK signaling pathway
30	118	131	PPrel	binding/association	---	hsa04010:27	hsa:5609	MAP2K7	O14733	hsa:23162	MAPK8IP3	Q9UPT6	MAPK signaling pathway
31	131	133	PPrel	binding/association	---	hsa04010:28	hsa:23162	MAPK8IP3	Q9UPT6	hsa:4214	MAP3K1	Q13233	MAPK signaling pathway
32	117	131	PPrel	binding/association	---	hsa04010:29	hsa:4296	MAP3K11	Q16584	hsa:23162	MAPK8IP3	Q9UPT6	MAPK signaling pathway
33	119	121	PPrel	binding/association	---	hsa04010:30	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	hsa:1398 hsa:1399	CRK	P46108	MAPK signaling pathway
34	120	121	PPrel	binding/association	---	hsa04010:31	hsa:6416	MAP2K4	P45985	hsa:1398 hsa:1399	CRK	P46108	MAPK signaling pathway
35	120	132	PPrel	binding/association	---	hsa04010:32	hsa:6416	MAP2K4	P45985	hsa:2316 hsa:2317 hsa:2318	FLNA	P21333	MAPK signaling pathway
36	120	122	PPrel	binding/association	---	hsa04010:33	hsa:6416	MAP2K4	P45985	hsa:408 hsa:409	ARRB1	P49407	MAPK signaling pathway
37	46	45	PPrel	phosphorylation	+p	hsa04010:34	hsa:5566 hsa:5567 hsa:5568	PRKACA	P17612	hsa:5906 hsa:5908	RAP1A	P62834	MAPK signaling pathway
38	44	49	PPrel	phosphorylation	+p	hsa04010:35	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
39	44	40	PPrel	phosphorylation	+p	hsa04010:36	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	hsa:5894	RAF1	P04049	MAPK signaling pathway
40	51	49	PPrel	activation	-->	hsa04010:37	hsa:6654 hsa:6655	SOS1	Q07889	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
41	51	49	PPrel	activation	-->	hsa04010:37	hsa:6654 hsa:6655	HGF	P14210	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
42	49	41	PPrel	activation	-->	hsa04010:38	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	hsa:673	BRAF	P15056	MAPK signaling pathway
43	49	40	PPrel	activation	-->	hsa04010:39	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	hsa:5894	RAF1	P04049	MAPK signaling pathway
44	41	39	PPrel	phosphorylation	+p	hsa04010:40	hsa:673	BRAF	P15056	hsa:5604	MAP2K1	Q02750	MAPK signaling pathway
45	41	38	PPrel	phosphorylation	+p	hsa04010:41	hsa:673	BRAF	P15056	hsa:5605	MAP2K2	P36507	MAPK signaling pathway
46	40	39	PPrel	phosphorylation	+p	hsa04010:42	hsa:5894	RAF1	P04049	hsa:5604	MAP2K1	Q02750	MAPK signaling pathway
47	40	38	PPrel	phosphorylation	+p	hsa04010:43	hsa:5894	RAF1	P04049	hsa:5605	MAP2K2	P36507	MAPK signaling pathway
48	39	36	PPrel	phosphorylation	+p	hsa04010:44	hsa:5604	MAP2K1	Q02750	hsa:5594 hsa:5595	MAPK1	P28482	MAPK signaling pathway
49	38	36	PPrel	phosphorylation	+p	hsa04010:45	hsa:5605	MAP2K2	P36507	hsa:5594 hsa:5595	MAPK1	P28482	MAPK signaling pathway
50	36	32	PPrel	phosphorylation	+p	hsa04010:46	hsa:5594 hsa:5595	MAPK1	P28482	hsa:4137	MAPT	P10636	MAPK signaling pathway
51	36	31	PPrel	phosphorylation	+p	hsa04010:47	hsa:5594 hsa:5595	MAPK1	P28482	hsa:3925	STMN1	P16949	MAPK signaling pathway
52	36	30	PPrel	phosphorylation	+p	hsa04010:48	hsa:5594 hsa:5595	MAPK1	P28482	hsa:100137049 hsa:123745 hsa:255189 hsa:283748 hsa:5321 hsa:8605 hsa:8681	PLA2G4B	P0C869	MAPK signaling pathway
53	36	144	PPrel	phosphorylation	+p	hsa04010:49	hsa:5594 hsa:5595	MAPK1	P28482	hsa:2872 hsa:8569	MKNK2	Q9HBH9	MAPK signaling pathway
54	36	143	PPrel	phosphorylation	+p	hsa04010:50	hsa:5594 hsa:5595	MAPK1	P28482	hsa:27330 hsa:6195 hsa:6196 hsa:6197	RPS6KA6	Q9UK32	MAPK signaling pathway
55	36	141	PPrel	phosphorylation	+p	hsa04010:51	hsa:5594 hsa:5595	MAPK1	P28482	hsa:2002	ELK1	P19419	MAPK signaling pathway
56	36	140	PPrel	phosphorylation	+p	hsa04010:52	hsa:5594 hsa:5595	MAPK1	P28482	hsa:2005	ELK4	P28324	MAPK signaling pathway
57	144	142	PPrel	phosphorylation	+p	hsa04010:53	hsa:2872 hsa:8569	MKNK2	Q9HBH9	hsa:468	ATF4	P18848	MAPK signaling pathway
58	143	142	PPrel	phosphorylation	+p	hsa04010:54	hsa:27330 hsa:6195 hsa:6196 hsa:6197	RPS6KA6	Q9UK32	hsa:468	ATF4	P18848	MAPK signaling pathway
59	36	139	PPrel	phosphorylation	+p	hsa04010:55	hsa:5594 hsa:5595	MAPK1	P28482	hsa:4609	MYC	P01106	MAPK signaling pathway
60	113	133	PPrel	activation	-->	hsa04010:56	hsa:5879 hsa:5880 hsa:5881 hsa:998	RAC1	P63000	hsa:4214	MAP3K1	Q13233	MAPK signaling pathway
61	113	114	PPrel	activation	-->	hsa04010:57	hsa:5879 hsa:5880 hsa:5881 hsa:998	RAC1	P63000	hsa:5058 hsa:5062	PAK1	Q13153	MAPK signaling pathway
62	103	95	PPrel	activation	-->	hsa04010:58	hsa:836	CASP3	P42574	hsa:6788 hsa:6789	STK3	Q13188	MAPK signaling pathway
63	102	94	PPrel	activation	-->	hsa04010:59	hsa:7186	TRAF2	Q12933	hsa:5871	MAP4K2	Q12851	MAPK signaling pathway
64	102	94	PPrel	activation	-->	hsa04010:59	hsa:7186	TRAF2	Q12933	hsa:5871	GCK	P35557	MAPK signaling pathway
65	102	89	PPrel	activation	-->	hsa04010:60	hsa:7186	TRAF2	Q12933	hsa:4217	MAP3K5	Q99683	MAPK signaling pathway
66	102	133	PPrel	activation	-->	hsa04010:61	hsa:7186	TRAF2	Q12933	hsa:4214	MAP3K1	Q13233	MAPK signaling pathway
67	101	89	PPrel	activation	-->	hsa04010:62	hsa:1616	DAXX	Q9UER7	hsa:4217	MAP3K5	Q99683	MAPK signaling pathway
68	101	89	PPrel	activation	-->	hsa04010:62	hsa:1616	SMIM40	Q5STR5	hsa:4217	MAP3K5	Q99683	MAPK signaling pathway
69	99	86	PPrel	activation	-->	hsa04010:63	hsa:10912 hsa:1647 hsa:4616	GADD45G	O95257	hsa:4216	MAP3K4	Q9Y6R4	MAPK signaling pathway
70	114	115	PPrel	phosphorylation	+p	hsa04010:64	hsa:5058 hsa:5062	PAK1	Q13153	hsa:10746 hsa:4215	MAP3K2	Q9Y2U5	MAPK signaling pathway
71	135	117	PPrel	phosphorylation	+p	hsa04010:65	hsa:11184	MAP4K1	Q92918	hsa:4296	MAP3K11	Q16584	MAPK signaling pathway
72	29	133	PPrel	phosphorylation	+p	hsa04010:66	hsa:9448	MAP4K4	O95819	hsa:4214	MAP3K1	Q13233	MAPK signaling pathway
73	136	133	PPrel	phosphorylation	+p	hsa04010:67	hsa:8491	MAP4K3	Q8IVH8	hsa:4214	MAP3K1	Q13233	MAPK signaling pathway
74	92	118	PPrel	phosphorylation	+p	hsa04010:68	hsa:7786	MAP3K12	Q12852	hsa:5609	MAP2K7	O14733	MAPK signaling pathway
75	93	118	PPrel	phosphorylation	+p	hsa04010:69	hsa:9175	MAP3K13	O43283	hsa:5609	MAP2K7	O14733	MAPK signaling pathway
76	91	118	PPrel	phosphorylation	+p	hsa04010:70	hsa:51776	MAP3K20	Q9NYL2	hsa:5609	MAP2K7	O14733	MAPK signaling pathway
77	89	80	PPrel	phosphorylation	+p	hsa04010:71	hsa:4217	MAP3K5	Q99683	hsa:5606	MAP2K3	P46734	MAPK signaling pathway
78	89	79	PPrel	phosphorylation	+p	hsa04010:72	hsa:4217	MAP3K5	Q99683	hsa:5608	MAP2K6	P52564	MAPK signaling pathway
79	88	35	PPrel	phosphorylation	+p	hsa04010:73	hsa:6885	MAP3K7	O43318	hsa:9020	MAP3K14	Q99558	MAPK signaling pathway
80	88	34	PPrel	phosphorylation	+p	hsa04010:74	hsa:6885	MAP3K7	O43318	hsa:1147 hsa:3551 hsa:8517	CHUK	O15111	MAPK signaling pathway
81	88	80	PPrel	phosphorylation	+p	hsa04010:75	hsa:6885	MAP3K7	O43318	hsa:5606	MAP2K3	P46734	MAPK signaling pathway
82	88	79	PPrel	phosphorylation	+p	hsa04010:76	hsa:6885	MAP3K7	O43318	hsa:5608	MAP2K6	P52564	MAPK signaling pathway
83	88	65	PPrel	phosphorylation	+p	hsa04010:77	hsa:6885	MAP3K7	O43318	hsa:51701	NLK	Q9UBE8	MAPK signaling pathway
84	90	80	PPrel	phosphorylation	+p	hsa04010:78	hsa:9064	MAP3K6	O95382	hsa:5606	MAP2K3	P46734	MAPK signaling pathway
85	90	79	PPrel	phosphorylation	+p	hsa04010:79	hsa:9064	MAP3K6	O95382	hsa:5608	MAP2K6	P52564	MAPK signaling pathway
86	80	77	PPrel	phosphorylation	+p	hsa04010:80	hsa:5606	MAP2K3	P46734	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	MAPK signaling pathway
87	79	77	PPrel	phosphorylation	+p	hsa04010:81	hsa:5608	MAP2K6	P52564	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	MAPK signaling pathway
88	77	76	PPrel	phosphorylation	+p	hsa04010:82	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:1386	ATF2	P15336	MAPK signaling pathway
89	77	75	PPrel	phosphorylation	+p	hsa04010:83	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:2002	ELK1	P19419	MAPK signaling pathway
90	77	74	PPrel	phosphorylation	+p	hsa04010:84	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:7157	TP53	P04637	MAPK signaling pathway
91	77	73	PPrel	phosphorylation	+p	hsa04010:85	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:2005	ELK4	P28324	MAPK signaling pathway
92	77	72	PPrel	phosphorylation	+p	hsa04010:86	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:1649	DDIT3	P35638	MAPK signaling pathway
93	77	72	PPrel	phosphorylation	+p	hsa04010:86	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:1649	DDIT3	P0DPQ6	MAPK signaling pathway
94	77	72	PPrel	phosphorylation	+p	hsa04010:86	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:1649	CEBPZ	Q03701	MAPK signaling pathway
95	77	71	PPrel	phosphorylation	+p	hsa04010:87	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:4149	MAX	P61244	MAPK signaling pathway
96	77	70	PPrel	phosphorylation	+p	hsa04010:88	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:4208	MEF2C	Q06413	MAPK signaling pathway
97	77	112	PPrel	phosphorylation	+p	hsa04010:89	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:8550	MAPKAPK5	Q8IW41	MAPK signaling pathway
98	77	68	PPrel	phosphorylation	+p	hsa04010:90	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:7867 hsa:9261	MAPKAPK3	Q16644	MAPK signaling pathway
99	77	67	PPrel	phosphorylation	+p	hsa04010:91	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:8986 hsa:9252	RPS6KA4	O75676	MAPK signaling pathway
100	77	66	PPrel	phosphorylation	+p	hsa04010:92	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	hsa:994	CDC25B	P30305	MAPK signaling pathway
101	112	87	PPrel	phosphorylation	+p	hsa04010:93	hsa:8550	MAPKAPK5	Q8IW41	hsa:3315	HSPB1	P04792	MAPK signaling pathway
102	68	87	PPrel	phosphorylation	+p	hsa04010:94	hsa:7867 hsa:9261	MAPKAPK3	Q16644	hsa:3315	HSPB1	P04792	MAPK signaling pathway
103	68	69	PPrel	phosphorylation	+p	hsa04010:95	hsa:7867 hsa:9261	MAPKAPK3	Q16644	hsa:468	ATF4	P18848	MAPK signaling pathway
104	67	69	PPrel	phosphorylation	+p	hsa04010:96	hsa:8986 hsa:9252	RPS6KA4	O75676	hsa:468	ATF4	P18848	MAPK signaling pathway
105	64	63	PPrel	phosphorylation	+p	hsa04010:97	hsa:5607	MAP2K5	Q13163	hsa:5598	MAPK7	Q13164	MAPK signaling pathway
106	63	62	PPrel	phosphorylation	+p	hsa04010:98	hsa:5598	MAPK7	Q13164	hsa:3164	NR4A1	P22736	MAPK signaling pathway
107	134	35	PPrel	phosphorylation	+p	hsa04010:99	hsa:1326	MAP3K8	P41279	hsa:9020	MAP3K14	Q99558	MAPK signaling pathway
108	134	34	PPrel	phosphorylation	+p	hsa04010:100	hsa:1326	MAP3K8	P41279	hsa:1147 hsa:3551 hsa:8517	CHUK	O15111	MAPK signaling pathway
109	134	39	PPrel	phosphorylation	+p	hsa04010:101	hsa:1326	MAP3K8	P41279	hsa:5604	MAP2K1	Q02750	MAPK signaling pathway
110	134	38	PPrel	phosphorylation	+p	hsa04010:102	hsa:1326	MAP3K8	P41279	hsa:5605	MAP2K2	P36507	MAPK signaling pathway
111	133	34	PPrel	phosphorylation	+p	hsa04010:103	hsa:4214	MAP3K1	Q13233	hsa:1147 hsa:3551 hsa:8517	CHUK	O15111	MAPK signaling pathway
112	133	120	PPrel	phosphorylation	+p	hsa04010:104	hsa:4214	MAP3K1	Q13233	hsa:6416	MAP2K4	P45985	MAPK signaling pathway
113	117	118	PPrel	phosphorylation	+p	hsa04010:105	hsa:4296	MAP3K11	Q16584	hsa:5609	MAP2K7	O14733	MAPK signaling pathway
114	133	39	PPrel	phosphorylation	+p	hsa04010:106	hsa:4214	MAP3K1	Q13233	hsa:5604	MAP2K1	Q02750	MAPK signaling pathway
115	133	38	PPrel	phosphorylation	+p	hsa04010:107	hsa:4214	MAP3K1	Q13233	hsa:5605	MAP2K2	P36507	MAPK signaling pathway
116	120	119	PPrel	phosphorylation	+p	hsa04010:108	hsa:6416	MAP2K4	P45985	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	MAPK signaling pathway
117	118	119	PPrel	phosphorylation	+p	hsa04010:109	hsa:5609	MAP2K7	O14733	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	MAPK signaling pathway
118	119	126	PPrel	phosphorylation	+p	hsa04010:110	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	hsa:2353 hsa:3725	FOS	P01100	MAPK signaling pathway
119	119	125	PPrel	phosphorylation	+p	hsa04010:111	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	hsa:3727	JUND	P17535	MAPK signaling pathway
120	119	75	PPrel	phosphorylation	+p	hsa04010:112	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	hsa:2002	ELK1	P19419	MAPK signaling pathway
121	119	74	PPrel	phosphorylation	+p	hsa04010:113	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	hsa:7157	TP53	P04637	MAPK signaling pathway
122	119	128	PPrel	inhibition	--|	hsa04010:114	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	hsa:4772	NFATC1	O95644	MAPK signaling pathway
123	119	127	PPrel	inhibition	--|	hsa04010:115	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	hsa:4775	NFATC3	Q12968	MAPK signaling pathway
124	129	128	PPrel	dephosphorylation	-p	hsa04010:116	hsa:5530 hsa:5532 hsa:5533 hsa:5534 hsa:5535	PPP3CA	Q08209	hsa:4772	NFATC1	O95644	MAPK signaling pathway
125	129	128	PPrel	dephosphorylation	-p	hsa04010:116	hsa:5530 hsa:5532 hsa:5533 hsa:5534 hsa:5535	CCN1	O00622	hsa:4772	NFATC1	O95644	MAPK signaling pathway
126	84	89	PPrel	inhibition	--|	hsa04010:117	hsa:10000 hsa:207 hsa:208	AKT3	Q9Y243	hsa:4217	MAP3K5	Q99683	MAPK signaling pathway
127	84	120	PPrel	inhibition	--|	hsa04010:118	hsa:10000 hsa:207 hsa:208	AKT3	Q9Y243	hsa:6416	MAP2K4	P45985	MAPK signaling pathway
128	129	127	PPrel	dephosphorylation	-p	hsa04010:119	hsa:5530 hsa:5532 hsa:5533 hsa:5534 hsa:5535	PPP3CA	Q08209	hsa:4775	NFATC3	Q12968	MAPK signaling pathway
129	129	127	PPrel	dephosphorylation	-p	hsa04010:119	hsa:5530 hsa:5532 hsa:5533 hsa:5534 hsa:5535	CCN1	O00622	hsa:4775	NFATC3	Q12968	MAPK signaling pathway
130	48	49	PPrel	inhibition	--|	hsa04010:120	hsa:5922	RASA2	Q15283	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
131	43	49	PPrel	inhibition	--|	hsa04010:121	hsa:4763	NF1	P21359	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
132	42	49	PPrel	inhibition	--|	hsa04010:122	hsa:5921	RASA1	P20936	hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237	RRAS2	P62070	MAPK signaling pathway
133	22	36	PPrel	inhibition	--|	hsa04010:123	hsa:1845 hsa:5778 hsa:5801 hsa:84867	DUSP3	P51452	hsa:5594 hsa:5595	MAPK1	P28482	MAPK signaling pathway
134	21	36	PPrel	inhibition	--|	hsa04010:124	hsa:11221 hsa:1843 hsa:1844 hsa:1846 hsa:1847 hsa:1848 hsa:1849 hsa:1850 hsa:1852 hsa:80824	DUSP10	Q9Y6W6	hsa:5594 hsa:5595	MAPK1	P28482	MAPK signaling pathway
135	81	119	PPrel	inhibition	--|	hsa04010:125	hsa:11221 hsa:1844 hsa:1846 hsa:1847 hsa:1849 hsa:1850 hsa:1852 hsa:80824	DUSP10	Q9Y6W6	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	MAPK signaling pathway
136	81	77	PPrel	inhibition	--|	hsa04010:126	hsa:11221 hsa:1844 hsa:1846 hsa:1847 hsa:1849 hsa:1850 hsa:1852 hsa:80824	DUSP10	Q9Y6W6	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	MAPK signaling pathway
137	82	119	PPrel	inhibition	--|	hsa04010:127	hsa:1845 hsa:5778 hsa:5801 hsa:84867	DUSP3	P51452	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	MAPK signaling pathway
138	82	77	PPrel	inhibition	--|	hsa04010:128	hsa:1845 hsa:5778 hsa:5801 hsa:84867	DUSP3	P51452	hsa:1432 hsa:5600 hsa:5603 hsa:6300	MAPK14	Q16539	MAPK signaling pathway
139	83	80	PPrel	inhibition	--|	hsa04010:129	hsa:5494	PPM1A	P35813	hsa:5606	MAP2K3	P46734	MAPK signaling pathway
140	83	79	PPrel	inhibition	--|	hsa04010:130	hsa:5494	PPM1A	P35813	hsa:5608	MAP2K6	P52564	MAPK signaling pathway
141	83	118	PPrel	inhibition	--|	hsa04010:131	hsa:5494	PPM1A	P35813	hsa:5609	MAP2K7	O14733	MAPK signaling pathway
142	83	120	PPrel	inhibition	--|	hsa04010:132	hsa:5494	PPM1A	P35813	hsa:6416	MAP2K4	P45985	MAPK signaling pathway
143	78	89	PPrel	inhibition	--|	hsa04010:133	hsa:5536	PPP5C	P53041	hsa:4217	MAP3K5	Q99683	MAPK signaling pathway
144	23	88	PPrel	inhibition	--|	hsa04010:134	hsa:5495	PPM1B	O75688	hsa:6885	MAP3K7	O43318	MAPK signaling pathway
145	123	119	PPrel	inhibition	--|	hsa04010:135	hsa:2122	MECOM	Q03112	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	MAPK signaling pathway
146	124	119	PPrel	inhibition	--|	hsa04010:136	hsa:3303 hsa:3304 hsa:3305 hsa:3306 hsa:3310 hsa:3312	HSPA1A	P0DMV8	hsa:5599 hsa:5601 hsa:5602	MAPK8	P45983	MAPK signaling pathway
147	104	98	PPrel	indirect effect	..>	hsa04010:138	hsa:929	CD14	P08571	hsa:10454	TAB1	Q15750	MAPK signaling pathway
148	35	33	PPrel	indirect effect	..>	hsa04010:139	hsa:9020	MAP3K14	Q99558	hsa:4790 hsa:4791 hsa:5970 hsa:5971	NFKB1	P19838	MAPK signaling pathway
149	34	33	PPrel	indirect effect	..>	hsa04010:140	hsa:1147 hsa:3551 hsa:8517	CHUK	O15111	hsa:4790 hsa:4791 hsa:5970 hsa:5971	NFKB1	P19838	MAPK signaling pathway
150	103	114	PPrel	activation	-->	hsa04010:148	hsa:836	CASP3	P42574	hsa:5058 hsa:5062	PAK1	Q13153	MAPK signaling pathway
151	103	133	PPrel	activation	-->	hsa04010:149	hsa:836	CASP3	P42574	hsa:4214	MAP3K1	Q13233	MAPK signaling pathway
152	35	34	PPrel	phosphorylation	+p	hsa04010:150	hsa:9020	MAP3K14	Q99558	hsa:1147 hsa:3551 hsa:8517	CHUK	O15111	MAPK signaling pathway
153	98	88	PPrel	activation	-->	hsa04010:151	hsa:10454	TAB1	Q15750	hsa:6885	MAP3K7	O43318	MAPK signaling pathway
154	97	88	PPrel	activation	-->	hsa04010:152	hsa:23118	TAB2	Q9NYJ8	hsa:6885	MAP3K7	O43318	MAPK signaling pathway
155	108	275	PPrel	NA	NA	hsa04010:153	hsa:7132	TNFRSF1A	P19438	hsa:8717	TRADD	Q15628	MAPK signaling pathway
156	275	102	PPrel	activation	-->	hsa04010:154	hsa:8717	TRADD	Q15628	hsa:7186	TRAF2	Q12933	MAPK signaling pathway
157	275	103	PPrel	activation	-->	hsa04010:155	hsa:8717	TRADD	Q15628	hsa:836	CASP3	P42574	MAPK signaling pathway
